number_sta,date,dd
14137001,2018-01-11,186.70833333333334
14137001,2018-01-12,137.83333333333334
14137001,2018-01-13,125.95833333333333
14137001,2018-01-14,132.5
14137001,2018-01-15,228.9121338912134
14137001,2018-01-16,266.25
14137001,2018-01-17,257.2083333333333
14137001,2018-01-18,265.4583333333333
14137001,2018-01-19,251.16666666666666
14137001,2018-01-20,245.41666666666666
14137001,2018-01-21,233.66666666666666
14137001,2018-01-22,270.0833333333333
14137001,2018-01-23,204.375
14137001,2018-01-24,211.83333333333334
14137001,2018-01-25,209.70833333333334
14137001,2018-01-26,263.3333333333333
14137001,2018-01-27,208.0
14137001,2018-01-28,251.75
14137001,2018-01-29,248.70833333333334
14137001,2018-01-30,210.45833333333334
14137001,2018-01-31,247.29166666666666
14137001,2018-02-01,282.25
14137001,2018-02-02,301.0833333333333
14137001,2018-02-03,167.5
14137001,2018-02-04,51.75
14137001,2018-02-05,65.25
14137001,2018-02-06,182.375
14137001,2018-02-07,213.29166666666666
14137001,2018-02-08,220.33333333333334
14137001,2018-02-09,264.2083333333333
14137001,2018-02-10,216.375
14137001,2018-02-11,271.0833333333333
14137001,2018-02-12,227.375
14137001,2018-02-13,208.04166666666666
14137001,2018-02-14,178.79166666666666
14137001,2018-02-15,261.25
14137001,2018-02-16,159.625
14137001,2018-02-17,208.25
14137001,2018-02-18,155.29166666666666
14137001,2018-02-19,254.875
14137001,2018-02-20,315.4166666666667
14137001,2018-02-21,43.458333333333336
14137001,2018-02-22,44.833333333333336
14137001,2018-02-23,56.708333333333336
14137001,2018-02-24,66.91666666666667
14137001,2018-02-25,60.958333333333336
14137001,2018-02-26,64.16666666666667
14137001,2018-02-27,63.583333333333336
14137001,2018-02-28,83.83333333333333
14137001,2018-03-01,89.625
14137001,2018-03-02,138.45833333333334
14137001,2018-03-03,157.58333333333334
14137001,2018-03-04,164.625
14137001,2018-03-05,165.125
14137001,2018-03-06,166.375
14137001,2018-03-07,246.58333333333334
14137001,2018-03-08,215.79166666666666
14137001,2018-03-09,155.625
14137001,2018-03-10,176.5
14137001,2018-03-11,148.95833333333334
14137001,2018-03-12,237.95833333333334
14137001,2018-03-13,246.75
14137001,2018-03-14,137.66666666666666
14137001,2018-03-15,182.875
14137001,2018-03-16,161.08333333333334
14137001,2018-03-17,80.58333333333333
14137001,2018-03-18,99.125
14137001,2018-03-19,66.20833333333333
14137001,2018-03-20,53.541666666666664
14137001,2018-03-21,191.75
14137001,2018-03-22,249.91666666666666
14137001,2018-03-23,176.04166666666666
14137001,2018-03-24,130.91666666666666
14137001,2018-03-25,245.875
14137001,2018-03-26,258.1666666666667
14137001,2018-03-27,233.45833333333334
14137001,2018-03-28,243.66666666666666
14137001,2018-03-29,182.41666666666666
14137001,2018-03-30,181.83333333333334
14137001,2018-03-31,243.70833333333334
14137001,2018-04-01,215.5
14137001,2018-04-02,170.54166666666666
14137001,2018-04-03,177.875
14137001,2018-04-04,207.95833333333334
14137001,2018-04-05,217.33333333333334
14137001,2018-04-06,138.75
14137001,2018-04-07,186.79166666666666
14137001,2018-04-08,204.5
14137001,2018-04-09,122.79166666666667
14137001,2018-04-10,123.08333333333333
14137001,2018-04-11,150.70833333333334
14137001,2018-04-12,265.0
14137001,2018-04-13,191.29166666666666
14137001,2018-04-14,117.20833333333333
14137001,2018-04-15,180.79166666666666
14137001,2018-04-16,213.95833333333334
14137001,2018-04-17,177.48953974895397
14137001,2018-04-18,130.79166666666666
14137001,2018-04-19,148.79166666666666
14137001,2018-04-20,184.04166666666666
14137001,2018-04-21,142.0
14137001,2018-04-22,229.70833333333334
14137001,2018-04-23,266.5416666666667
14137001,2018-04-24,226.95833333333334
14137001,2018-04-25,268.375
14137001,2018-04-26,236.25
14137001,2018-04-27,170.25
14137001,2018-04-28,206.375
14137001,2018-04-29,126.08333333333333
14137001,2018-04-30,298.375
14137001,2018-05-01,226.04166666666666
14137001,2018-05-02,225.45833333333334
14137001,2018-05-03,273.9583333333333
14137001,2018-05-04,197.95833333333334
14137001,2018-05-05,243.25
14137001,2018-05-06,276.3333333333333
14137001,2018-05-07,227.45833333333334
14137001,2018-05-08,257.3333333333333
14137001,2018-05-09,257.0833333333333
14137001,2018-05-10,243.5
14137001,2018-05-11,170.5
14137001,2018-05-12,180.5
14137001,2018-05-13,276.0416666666667
14137001,2018-05-14,318.2426778242678
14137001,2018-05-15,319.4166666666667
14137001,2018-05-16,121.0
14137001,2018-05-17,29.25
14137001,2018-05-18,123.33333333333333
14137001,2018-05-19,182.5
14137001,2018-05-20,188.41666666666666
14137001,2018-05-21,228.54166666666666
14137001,2018-05-22,313.9583333333333
14137001,2018-05-23,86.08333333333333
14137001,2018-05-24,145.75
14137001,2018-05-25,181.95833333333334
14137001,2018-05-26,156.625
14137001,2018-05-27,152.91666666666666
14137001,2018-05-28,219.08333333333334
14137001,2018-05-29,179.70833333333334
14137001,2018-05-30,174.70833333333334
14137001,2018-05-31,201.125
14137001,2018-06-01,240.20833333333334
14137001,2018-06-02,201.54166666666666
14137001,2018-06-03,64.875
14137001,2018-06-04,131.625
14137001,2018-06-05,36.75
14137001,2018-06-06,133.79166666666666
14137001,2018-06-07,224.20833333333334
14137001,2018-06-08,194.79166666666666
14137001,2018-06-09,153.58333333333334
14137001,2018-06-10,219.04166666666666
14137001,2018-06-11,151.82203389830508
14137001,2018-06-12,136.0
14137001,2018-06-13,195.875
14137001,2018-06-14,235.375
14137001,2018-06-15,267.5833333333333
14137001,2018-06-16,237.08333333333334
14137001,2018-06-17,224.75
14137001,2018-06-18,254.625
14137001,2018-06-19,199.83333333333334
14137001,2018-06-20,200.125
14137001,2018-06-21,259.1666666666667
14137001,2018-06-22,174.45833333333334
14137001,2018-06-23,132.88702928870293
14137001,2018-06-24,139.875
14137001,2018-06-25,65.16666666666667
14137001,2018-06-26,81.45833333333333
14137001,2018-06-27,88.33333333333333
14137001,2018-06-28,159.25
